20.87,-6.7,-0.2,4.1,0.4,2.8,0.4,-3
20.967,-6.9,-0.2,4,0.3,2.7,0.4,-3
21.067,-6.8,-0.1,3.9,0.3,2.8,0.4,-3
21.164,-6.6,-0.1,3.8,0.3,2.7,0.4,-3
21.262,-6.5,-0.3,3.7,0.4,2.7,0.4,-3.1
21.365,-6.6,-0.2,3.7,0.4,2.8,0.4,-3.1
21.463,-6.5,-0.2,3.7,0.4,2.9,0.3,-3.1
21.562,-6.6,-0.4,3.6,0.4,2.9,0.4,-3.2
21.66,-6.6,-0.3,3.5,0.4,2.8,0.4,-3.2
21.762,-6.7,-0.3,3.3,0.3,2.7,0.3,-3
21.861,-6.6,-0.3,3.2,0.3,2.8,0.4,-3
21.96,-6.5,-0.4,3.1,0.3,2.8,0.5,-3.2
22.056,-6.5,-0.4,3.1,0.2,2.7,0.4,-3.2
22.159,-6.5,-0.4,3,0.3,2.8,0.3,-3.1
22.259,-6.5,-0.4,3.2,0.5,2.7,0.3,-3.2
22.356,-6.6,-0.5,3.2,0.4,2.7,0.4,-3.3
22.455,-6.4,-0.5,3,0.3,2.9,0.4,-3.2
22.557,-6.5,-0.5,2.9,0.3,2.8,0.4,-3.2
22.655,-6.6,-0.5,2.7,0.4,2.7,0.4,-3.2
22.754,-6.6,-0.5,2.7,0.3,2.7,0.3,-3.2
22.851,-6.6,-0.6,2.6,0.4,2.7,0.3,-3.3
22.951,-6.5,-0.5,2.6,0.3,2.8,0.4,-3.4
23.052,-6.5,-0.5,2.6,0.4,2.7,0.4,-3.4
23.15,-6.5,-0.6,2.6,0.4,2.7,0.4,-3.4
23.25,-6.7,-0.6,2.5,0.3,2.8,0.3,-3.2
23.347,-6.7,-0.6,2.5,0.2,2.8,0.4,-3.2
23.451,-6.6,-0.6,2.4,0.4,2.9,0.3,-3.2
23.549,-6.5,-0.6,2.4,0.5,2.7,0.3,-3.4
