39.706,0,-0,0.1,0.2,0.2,-0.1,0.2,-0.2
39.79,0,0.2,0.2,0,-0.1,0.1,0.3,-0.1
39.879,0,0.2,0.1,-0,0,0.2,0.1,-0.1
39.973,0,0.2,0.1,-0.2,-0,0.1,0.1,0
40.063,0,0.1,0,-0.1,0.1,0.1,-0.1,0.1
40.158,0,0.1,0.1,-0,0.2,0.2,0.1,0
40.248,0,0.2,0.1,-0.1,0.1,0.2,0.2,0.2
40.342,0,0.2,0,-0.2,-0,0.2,0.1,0.2
40.436,0,0.2,-0,-0.3,-0,0.1,0,0.1
40.527,0,0.2,-0.1,-0.2,0,0.2,-0,0.1
40.621,0,0.3,-0,0,0,0.2,-0,0
40.715,0,0.3,0,-0,-0.1,0.1,0,0
40.81,0,0.3,0.1,-0.1,0,0,0.1,-0
40.907,0,0.3,-0,0.1,0,0.1,-0.1,-0.1
41.002,0,0.2,-0.1,-0,0.1,0.1,-0.2,0
41.101,0,0.2,-0,-0.1,0.1,0.1,-0.1,0.1
41.198,0,0.2,0.1,0,0,-0.1,0.2,0
41.297,0,0.1,0.2,-0,0.1,0.1,0,0.1
41.395,0,0.2,0.1,-0.1,0.1,0.1,-0.1,0.1
41.498,0,0.2,0,-0,-0,0.2,-0,-0
41.596,0,0.1,0.1,-0.1,-0.1,0.2,-0,0.1
41.695,0,0.1,0.1,-0.1,-0.2,0.1,-0.1,0.1
41.793,0,0,0,0.1,0,0.2,-0,-0.1
41.895,0,0.1,0,0.1,0.1,0.3,-0,-0.1
41.993,0,0.1,-0.1,-0,0,0.2,0,-0
42.092,0,0.1,-0,0.1,0,0.1,0.1,-0
42.193,0,0.1,-0,0.2,0,0.1,0.1,0.1
42.292,0,0.1,0,0,0.1,0.2,-0,0.1
42.39,0,0.3,-0,-0.2,-0,0.2,-0,-0
42.488,0,0.4,0.1,-0,-0.1,0.2,-0,0.1
42.59,0,0.3,-0.1,-0,-0,0.2,-0,0
42.69,0,0.1,-0.1,-0.1,0.1,0.2,0,0.1
42.787,0,0.2,-0,-0,0.1,0.1,-0.1,0.1
42.887,0,0.2,-0,0,0,0.2,-0.1,0
42.989,0,0.1,-0,-0.1,0.1,0.2,0.1,-0
43.087,0,0.3,0,-0.1,0.1,0.1,-0,0.1
43.186,0,0.2,-0.2,-0.2,0.2,0.2,-0.2,0.1
43.283,0,0.3,-0.1,-0.2,0.2,0,-0.2,-0
43.386,0,0.3,-0,-0.1,0.1,-0,-0,0
43.484,0,0.3,-0.1,0.1,-0,0.1,-0,0
43.582,0,0.3,-0,-0,0.1,0.2,0.1,-0
43.685,0,0.1,-0.1,-0,0,0.1,-0.1,-0
43.783,0,0.1,0,0,-0,0.1,-0.1,0
43.882,0,0.1,-0,0,0.1,0.1,-0.1,0.1
43.979,0,0.2,-0.1,0,0,0.2,0,0.1
44.082,0,0.2,-0.1,-0,-0.1,0.2,0,0.1
44.18,0,0.1,-0.1,-0,-0.2,0.1,-0,0.1
44.279,0,0.1,-0,-0,0,0.1,-0,0.2
44.377,0,0.2,-0,-0.1,0.1,0.2,0.1,0.1
44.48,0,0.2,-0.1,-0.2,0.1,0.1,0,0
44.577,0,0.3,-0.1,-0.1,-0,0.1,0,0.1
44.676,0,0.2,-0.1,-0.1,-0,0.3,-0,0.1
44.773,0,0.1,0.1,-0.1,0.1,0.3,-0,0.2
44.877,0,0.1,-0,-0.2,0,0.1,-0,0
44.976,0,0.1,-0.1,-0.2,-0,0.1,-0.1,0.1
45.072,0,0.2,0,-0.2,0.1,0,0,0.2
45.172,0,0.2,0.1,-0.2,0.2,0,-0,0.1
45.275,0,0.1,-0,-0.1,0.1,0.1,-0.1,0
45.372,0,0.2,-0,-0,-0,0.1,-0.1,0.1
45.47,0,0.2,0.1,-0.1,-0.1,0.1,0,0.2
45.573,0,0.4,-0.1,0.4,0,0.1,-0,0.1
45.67,0,0.2,-0.3,1.8,0.1,0,-0.1,0.1
45.769,0,-0.4,-1.3,1.7,-0.2,-0.1,-0.1,0.2
45.868,0,-0.2,-1.7,-0.2,-0.7,-0.6,-0,0.2
45.97,0,0.6,-0.8,-7.1,-0.6,-0.7,0.1,0.1
46.069,0,0.8,2.4,-8.2,-0.1,-0.9,-0,-0.1
46.167,0,2.6,5.8,3.2,-0.2,-1.5,-0,-0.4
46.265,0,1.3,3.1,4.9,-0.1,-0.3,0.1,-0.3
46.367,0,-3.9,-0.9,3.9,-0.3,-0.1,-0,-0.3
46.466,0,-5.7,-4.7,14.8,-0.8,0,-0,-0.2
46.564,0,-4.8,-7.3,51,-1,0.1,0.1,-0.1
46.662,0,-6.4,-7.3,87.8,-0.8,0.1,-0.1,-0.1
46.765,0,-6.7,-14.7,62.5,-0.8,0.1,-0.1,-0
46.863,0,-8.2,-18.6,-15.6,-0.8,-0,-0.1,-0
46.962,0,-8.5,-17.7,-77.2,-0.8,-0,-0,-0.1
47.065,0,-8.9,-24.6,-102.6,-1.2,-0.1,0.1,-0.1
47.162,0,-7.3,-28.2,-105.4,-1.5,-0.1,-0,-0.2
47.261,0,-5,-22.8,-96.1,-1.6,-0.1,-0.1,-0.1
47.358,0,-3.5,-12.9,-77.9,-1.6,0,-0.1,-0.1
47.462,0,-4.2,-8.6,-117.1,-1.5,0.1,-0,-0.3
47.559,0,-5.9,-23.4,-114.7,-1.2,-0,-0,-0.3
47.657,0,-6.5,-30.1,-143.3,-0.9,-0.1,-0,-0.1
47.755,0,-4.5,-26.9,-152.6,-1,-0,-0.1,-0.3
